epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,600.265,1.72169,1.13838,0.95062,0.72502,0.38309,0.43538,0.24325,1.54043,0.95252,0.91293,0.00999212,0.00333071,0.00999212,0.00333071,0.00999212,0.00333071,0.00999212,0.00333071
2,1119.32,1.72741,1.03662,0.93068,0.74544,0.39557,0.45548,0.25548,1.53046,0.93752,0.92323,0.0197942,0.00659807,0.0197942,0.00659807,0.0197942,0.00659807,0.0197942,0.00659807
3,1620.47,1.78249,1.0675,0.94488,0.71451,0.38603,0.43334,0.24005,1.59829,0.95836,0.93332,0.0293983,0.00979943,0.0293983,0.00979943,0.0293983,0.00979943,0.0293983,0.00979943
4,2115.78,1.76221,1.0512,0.94417,0.74597,0.39957,0.45759,0.25921,1.53422,0.91743,0.9235,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2612.94,1.68313,0.98832,0.92745,0.76448,0.41036,0.4743,0.27516,1.47528,0.87185,0.9106,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3109.93,1.62418,0.94656,0.91712,0.7743,0.43158,0.49849,0.28785,1.43486,0.83719,0.89985,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3607.08,1.58498,0.91499,0.90533,0.79065,0.43442,0.50005,0.295,1.4122,0.81777,0.8933,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4104.67,1.54477,0.89105,0.89844,0.80325,0.44185,0.51192,0.30302,1.3826,0.79542,0.88882,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4601.36,1.52476,0.87572,0.89298,0.80533,0.44689,0.52203,0.31276,1.35445,0.77901,0.87857,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5098.53,1.50139,0.85616,0.88715,0.81675,0.45372,0.52893,0.31703,1.33864,0.77303,0.87675,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5596.31,1.4775,0.83954,0.88321,0.81031,0.45891,0.53145,0.32134,1.32088,0.74947,0.875,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6093.38,1.45378,0.82647,0.87939,0.81956,0.46247,0.53793,0.32719,1.29875,0.73882,0.86953,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6590.7,1.43522,0.81622,0.87676,0.81405,0.46266,0.53787,0.32801,1.29437,0.7355,0.86837,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7088.83,1.42359,0.8089,0.87473,0.80736,0.46625,0.53869,0.33068,1.27664,0.7348,0.86658,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7588.41,1.40388,0.79795,0.8709,0.82337,0.4752,0.55078,0.33959,1.25712,0.71474,0.86232,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8086.76,1.39661,0.79069,0.8699,0.82073,0.47619,0.55404,0.34162,1.26033,0.71632,0.86143,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8584.87,1.39029,0.7858,0.86662,0.81518,0.47919,0.55471,0.34485,1.23862,0.70479,0.8581,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9082.52,1.37692,0.77622,0.86359,0.82687,0.4806,0.55966,0.34883,1.22845,0.69554,0.85603,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9582.09,1.36951,0.7717,0.86075,0.81726,0.48415,0.56097,0.35007,1.22062,0.69327,0.85431,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10079.8,1.35113,0.76179,0.86092,0.82707,0.48591,0.56171,0.3529,1.21731,0.6884,0.85328,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10577.9,1.34798,0.75957,0.85865,0.82837,0.48811,0.56623,0.35678,1.20675,0.68019,0.85129,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11076.2,1.34308,0.75327,0.85766,0.83258,0.492,0.56919,0.35718,1.20497,0.67439,0.85045,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,11573.3,1.33522,0.75177,0.85625,0.83376,0.4892,0.57124,0.36071,1.19202,0.66959,0.84838,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,12072.3,1.32133,0.74414,0.85492,0.83312,0.49395,0.57272,0.36257,1.18439,0.66853,0.84704,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,12570.3,1.32482,0.74313,0.85253,0.83291,0.49454,0.57393,0.36394,1.17691,0.66118,0.84647,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
